,lat,long,altitude,datetime,timedelta,distance,velocity,acceleration,trajectory_id,labels,v_ave,v_med,v_max,a_ave,a_med,a_max,path number
0,39.977079,116.331255,0.0,2010-11-26 19:20:56,0 days 00:00:05,37.37550784137562,7.475101568275124,0.3017738755342892,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
1,39.977405,116.331364,0.0,2010-11-26 19:21:01,0 days 00:00:05,44.919854729732855,8.98397094594657,-1.6643205645349455,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
2,39.977796,116.331229,0.0,2010-11-26 19:21:06,0 days 00:00:05,3.311840616359212,0.6623681232718424,0.1435702410896691,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
3,39.97777,116.331248,0.0,2010-11-26 19:21:11,0 days 00:00:05,6.9010966436009396,1.3802193287201878,0.11992838444668981,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
4,39.977716,116.331288,0.0,2010-11-26 19:21:16,0 days 00:00:05,9.899306254768184,1.9798612509536369,0.10526891660519629,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
5,39.977653,116.33137,0.0,2010-11-26 19:21:21,0 days 00:00:05,12.53102916989809,2.5062058339796183,-0.2435511923227008,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
6,39.977553,116.331438,0.0,2010-11-26 19:21:26,0 days 00:00:05,6.442249361830571,1.2884498723661142,0.026557576263707316,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
7,39.977495,116.33144,0.0,2010-11-26 19:21:31,0 days 00:00:05,7.106188768423254,1.4212377536846508,0.09753699657592066,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
8,39.977431,116.33144,0.0,2010-11-26 19:21:36,0 days 00:00:05,9.54461368282127,1.908922736564254,-0.22153069901134642,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
9,39.977358,116.331499,0.0,2010-11-26 19:21:41,0 days 00:00:05,4.00634620753761,0.801269241507522,-0.0035554883735817943,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
10,39.977327,116.331523,0.0,2010-11-26 19:21:46,0 days 00:00:05,3.917458998198065,0.783491799639613,0.05483656898580891,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
11,39.977301,116.331554,0.0,2010-11-26 19:21:51,0 days 00:00:05,5.288373222843288,1.0576746445686576,,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
12,39.977274,116.331605,0.0,2010-11-26 19:21:56,,,,,20101126192056,,2.520731091623149,1.4007285412024193,8.98397094594657,-0.11668048952193576,0.05483656898580891,0.3017738755342892,1
13,39.896378,116.357542,0.0,2010-11-28 13:23:00,0 days 00:00:05,7.470986143942695,1.494197228788539,0.13206456963481344,20101128132300,,2.419704804706462,1.0869467755986955,46.95368846724567,-0.007753610860960317,-0.0024244840633989686,8.303225761635316,2
14,39.896444,116.357559,0.0,2010-11-28 13:23:05,0 days 00:00:05,10.772600384813032,2.1545200769626063,0.2690379671303349,20101128132300,,2.419704804706462,1.0869467755986955,46.95368846724567,-0.007753610860960317,-0.0024244840633989686,8.303225761635316,2
15,39.896352,116.357599,0.0,2010-11-28 13:23:10,0 days 00:00:05,17.498549563071403,3.4997099126142808,-0.3930133361002056,20101128132300,,2.419704804706462,1.0869467755986955,46.95368846724567,-0.007753610860960317,-0.0024244840633989686,8.303225761635316,2
16,39.896197,116.357636,0.0,2010-11-28 13:23:15,0 days 00:00:05,7.673216160566264,1.5346432321132528,0.2395232763003968,20101128132300,,2.419704804706462,1.0869467755986955,46.95368846724567,-0.007753610860960317,-0.0024244840633989686,8.303225761635316,2
